Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2021-06-14,05:55 - 14:49 (100%),64,1,LRIS-ADC,lris4,C. Megan Urry,Yale(CIT),Y227,
2021-06-15,05:56 - 10:22 ( 50%),57,1,LRIS-ADC,lris5,Katherine Follette,NASA,N196,
2021-06-15,10:22 - 14:49 ( 50%),57,1,HIRESr,hires1,Lauren Weiss,NASA,N048,
2021-06-16,05:56 - 10:22 ( 50%),49,1,LRIS-ADC,lris5,Katherine Follette,NASA,N196,
2021-06-16,10:22 - 14:49 ( 50%),49,1,HIRESr,hires1,Lauren Weiss,NASA,N048,
2021-06-17,05:56 - 14:49 (100%),42,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-06-18,05:56 - 14:49 (100%),35,1,HIRESr,hires1,Ashley Chontos,UH,H262,
2021-06-19,05:57 - 14:50 (100%),27,1,HIRESr,hires1,Ashley Chontos,UH,H262,
2021-06-20,05:57 - 10:24 ( 50%),19,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-06-20,10:24 - 14:50 ( 50%),19,1,HIRESr,hires1,Katherine de Kleer,CIT,C294,
2021-06-21,05:57 - 08:10 ( 25%),10,1,HIRESr,hires1,Ian Crossfield,NASA,N136,
2021-06-21,08:10 - 14:50 ( 75%),10,1,HIRESr,hires1,Andrew Howard,NASA,N012,
2021-06-22,05:57 - 14:50 (100%),0,1,HIRESr,hires1,Andrew Howard,CIT,C014,
2021-06-23,05:58 - 14:50 (100%),0,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-06-24,05:58 - 14:51 (100%),0,1,OSIRIS-LGS,osiris2, Engineering,KECK,E333,
2021-06-25,05:58 - 10:24 ( 50%),4,1,OSIRIS-NGS,osiris2,Jean-Baptiste Ruffio,CIT,C292,
2021-06-25,10:24 - 14:51 ( 50%),4,1,LRIS-ADC,lris6, Engineering,KECK,E376,
2021-06-26,05:58 - 10:24 ( 50%),15,1,OSIRIS-NGS,osiris2,Jean-Baptiste Ruffio,CIT,C292,
2021-06-26,10:24 - 14:51 ( 50%),15,1,OSIRIS-LGS,osiris3, Engineering,KECK,E333,
2021-06-27,05:58 - 10:25 ( 50%),23,1,OSIRIS-NGS,osiris2,Jean-Baptiste Ruffio,CIT,C292,
2021-06-27,10:25 - 13:52 ( 39%),23,1,MOSFIRE,mosfire6, Engineering,KECK,E395,
2021-06-27,13:52 - 14:52 ( 11%),23,1,OSIRIS-NGS,osiris2, Engineering,KECK,E329,
2021-06-28,05:58 - 14:52 (100%),31,1,MOSFIRE,mosfire6,Vikram Ravi,CIT,C310,
2021-06-29,05:58 - 14:52 (100%),38,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-06-30,05:58 - 10:26 ( 50%),45,1,OSIRIS-NGS,osiris3,Gaspard Duchene,UCB,U032,
2021-06-30,10:26 - 14:53 ( 50%),45,1,MOSFIRE,mosfire7,Klaus Hodapp,UH,H253,
2021-07-01,05:59 - 10:26 ( 50%),51,1,OSIRIS-NGS,osiris3,Gaspard Duchene,UCB,U032,
2021-07-01,10:26 - 14:53 ( 50%),51,1,HIRESr,hires1,Josh Winn,NASA,N146,
2021-07-02,05:59 - 14:53 (100%),57,1,LRIS-ADC,lris6,Kerry Paterson,Northwestern,O316,
2021-07-03,05:59 - 12:40 ( 75%),63,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-07-03,12:40 - 14:54 ( 25%),63,1,HIRESr,hires1,Katherine de Kleer,CIT,C294,
2021-07-04,05:59 - 14:54 (100%),70,1,LRIS-ADC,lris7,Thomas Prince,CIT,C308,
2021-07-05,05:59 - 14:54 (100%),77,1,LRIS-ADC,lris8,Shri Kulkarni,CIT,C293,
2021-07-06,05:58 - 14:55 (100%),85,1,LRIS-ADC,lris9,Gregg Hallinan,CIT,C302,
2021-07-07,05:58 - 14:55 (100%),94,1,LRIS-ADC,lris1,Ryan Foley,UCSC,U089,
2021-07-08,05:58 - 10:27 ( 50%),100,1,LRIS-ADC,lris2,Igor  Andreoni,CIT,C277,
